,precision,recall,f1-score,support
Chuck Grip,0.39182282793867124,0.13450292397660818,0.20026121027427077,5130
Fine Pinch,0.17927610087547366,0.2674463937621832,0.2146600954392552,5130
H. Open,0.06477516059957174,0.02358674463937622,0.034581308945412975,5130
Hook Grip,0.2977247502774695,0.2091617933723197,0.2457064346233112,5130
Key Grip,0.11428571428571428,0.028070175438596492,0.04507042253521128,5130
No Move,0.6868317769657599,0.9892787524366472,0.8107676331975396,5130
Power Grip,0.09833091436865021,0.21130604288499025,0.13420824563575584,5130
Thumb Enclosed,0.1390116512655685,0.06744639376218324,0.09082556765979789,5130
Tool Grip,0.24269377382465057,0.14892787524366471,0.18458564870741723,5130
W. Abduction,0.13329345496236478,0.5212475633528265,0.21229804295184787,5130
W. Adduction,0.42870145631067963,0.2754385964912281,0.3353904581058628,5130
W. Extension,0.4158483672071249,0.3549707602339181,0.38300557366705223,5130
W. Flexion,0.6114592658907789,0.2662768031189084,0.3709940249864204,5130
W. Pronation,0.5013824884792627,0.21208576998050682,0.2980821917808219,5130
W. Supination,0.3261811876896402,0.2933723196881092,0.3089080459770115,5130
macro avg,0.30877459272942537,0.26687459389213775,0.2579563269657993,76950
micro avg,0.26687459389213775,0.26687459389213775,0.26687459389213775,76950
weighted avg,0.30877459272942537,0.26687459389213775,0.25795632696579923,76950
